Designator,Mid X,Mid Y,Rotation,Layer
D1,88.51,-48.3,0.0,bottom
D10,107.31,-38.9,0.0,bottom
D100,130.81,-32.6,0.0,bottom
D11,88.51,-45.2,0.0,bottom
D12,93.21,-45.2,0.0,bottom
D13,97.91,-45.2,0.0,bottom
D14,107.31,-42.1,0.0,bottom
D15,107.31,-45.2,0.0,bottom
D16,107.31,-48.3,0.0,bottom
D17,112.01,-35.7,0.0,bottom
D18,112.01,-38.9,0.0,bottom
D19,112.01,-42.1,0.0,bottom
D2,93.21,-48.3,0.0,bottom
D20,112.01,-45.2,0.0,bottom
D21,88.51,-38.9,0.0,bottom
D22,88.51,-42.1,0.0,bottom
D23,93.21,-38.9,0.0,bottom
D24,93.21,-42.1,0.0,bottom
D25,97.91,-38.9,0.0,bottom
D26,97.91,-42.1,0.0,bottom
D27,112.01,-48.3,0.0,bottom
D28,116.71,-35.7,0.0,bottom
D29,116.71,-38.9,0.0,bottom
D3,97.91,-48.3,0.0,bottom
D30,116.71,-42.1,0.0,bottom
D31,116.71,-45.2,0.0,bottom
D32,116.71,-48.3,0.0,bottom
D33,121.41,-35.7,0.0,bottom
D34,121.41,-38.9,0.0,bottom
D35,121.41,-42.1,0.0,bottom
D36,121.41,-45.2,0.0,bottom
D37,121.41,-48.3,0.0,bottom
D38,126.11,-35.7,0.0,bottom
D39,126.11,-38.9,0.0,bottom
D4,102.61,-35.7,0.0,bottom
D40,126.11,-42.1,0.0,bottom
D41,126.11,-45.2,0.0,bottom
D42,88.51,-35.7,0.0,bottom
D43,126.11,-48.3,0.0,bottom
D44,93.21,-35.7,0.0,bottom
D45,130.81,-35.7,0.0,bottom
D46,97.91,-35.7,0.0,bottom
D47,130.81,-38.9,0.0,bottom
D48,130.81,-42.1,0.0,bottom
D49,130.81,-45.2,0.0,bottom
D5,102.61,-38.9,0.0,bottom
D50,130.81,-48.3,0.0,bottom
D51,88.51,-20.2,0.0,bottom
D52,88.51,-23.3,0.0,bottom
